doy,basinSWE_amsr,basinSWE_era5
92,0.3366,2.2239
93,0.2736,2.2716
94,-99,2.4003
95,0.5139,2.2653
96,-99,2.2257
97,0.2574,2.178
98,-99,2.1969
99,0.5283,2.1465
100,0.5562,2.1519
101,0.6714,2.1366
102,0.5769,2.106
103,-99,2.0718
104,0.8352,2.0223
105,-99,1.9791
106,0.54,1.9395
107,-99,1.8945
108,0.5715,1.9458
109,0.3645,1.9098
110,-99,1.9017
111,-99,1.8756
112,-99,1.8378
113,0.3942,1.8324
114,-99,1.8648
115,0.6453,1.8513
116,0.3231,1.8279
117,0.072,1.8036
118,0.5067,1.8585
119,-99,1.8216
120,0.6192,1.8441
121,-99,1.9053
122,0.8289,1.9188
123,-99,1.9071
124,0.8361,1.8837
125,0.8145,1.8576
126,-99,1.8189
127,0.1944,1.7784
128,-99,1.7604
129,0.1746,1.7802
130,-99,1.755
131,0.4662,1.7208
132,0.5697,1.6911
133,0.6597,1.6569
134,0.6318001,1.6164
135,-99,1.575
136,0.1422,1.5228
137,-99,1.4868
138,0.6858,1.4526
139,-99,1.4184
140,0.6192,1.3869
141,0.8451,1.3608
142,-99,1.3248
143,0.6588,1.2852
144,-99,1.2546
145,0.8406,1.206
146,-99,1.1637
147,0.3204,1.1169
148,0.4815,1.0728
149,0.6408,1.0395
150,0.6183,1.0035
151,-99,0.9567
152,0.2556,0.9126
153,-99,0.8819999
154,0.6264,0.8397
155,-99,0.7884
156,0.5337,0.7407
157,0.4041,0.6894
158,-99,0.6381
159,0.4635,0.5967
160,-99,0.5553
161,0.4338,0.5067
162,-99,0.4572
163,0.3447,0.4041
164,0.2736,0.3474
165,0.216,0.288
166,0.1503,0.2259
167,-99,0.1782
168,0.1323,0.1386
169,-99,0.1071
170,0.1098,0.0801
171,-99,0.0513
172,0.1332,0.0279
173,0.036,0.0153
174,0.06569999,0.0072
175,0.0729,0.0045
176,-99,0.0027
177,0.1566,0.0009
178,-99,0
179,0.1458,0
180,0.099,0
181,0.0954,0
182,0.0846,0
