doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,88,504,423,8.050858,11.91092
91,71,4045,3540,6931,86,503,431,8.319595,11.8645
91,71,4261,3537,6929,93,518,445,8.864441,16.72073
91,71,3933,3534,6927,86,415,378,8.375107,24.54617
91,71,4215,3542,6937,90,476,400,7.231659,12.77991
91,71,4199,3540,6935,89,473,386,8.47197,14.25148
91,71,3979,3537,6932,92,522,460,8.809677,15.59329
91,71,4160,3534,6930,88,430,362,8.40506,22.20509
91,71,3372,3531,6928,81,305,291,8.130737,27.86055
91,71,4255,3542,6941,88,412,332,6.807892,14.38377
91,71,4185,3540,6938,89,489,414,7.802887,15.63275
91,71,4076,3537,6936,87,424,351,8.472214,17.10129
91,71,3822,3534,6934,84,402,349,8.115112,18.43425
91,71,3741,3531,6931,83,274,264,7.623138,23.55478
91,71,3121,3528,6929,70,0,202,6.793243,28.4415
91,71,3051,3526,6926,58,0,120,5.631302,24.8206
91,71,4252,3545,6947,88,426,326,6.076675,12.51808
91,71,4348,3542,6944,88,434,342,6.534607,15.99239
91,71,3941,3540,6942,88,408,337,7.055511,17.15128
91,71,4294,3537,6939,92,466,392,7.438614,17.64453
91,71,3914,3534,6937,85,347,303,7.466919,20.34424
91,71,3235,3531,6935,79,265,236,7.160187,21.54332
91,71,2987,3528,6932,61,0,113,5.998169,22.08412
91,71,2833,3526,6930,45,0,66,5.16127,23.50771
91,71,2785,3523,6927,39,0,68,3.546234,19.12289
91,71,4059,3545,6950,89,373,278,6.172653,11.41859
91,71,4211,3542,6948,92,508,411,6.19072,15.51129
91,71,3948,3540,6945,86,322,253,6.46846,18.77306
91,71,4040,3537,6943,89,431,363,6.583679,20.30548
91,71,3922,3534,6940,89,315,275,6.46434,22.48405
91,71,3741,3531,6938,87,255,241,6.365921,21.69978
91,71,3162,3528,6936,78,181,194,5.387283,18.28035
91,71,2721,3526,6933,44,0,48,4.320343,12.28885
91,71,2411,3523,6931,18,0,12,3.077332,14.0562
91,71,2216,3520,6928,6,0,1,1.473282,10.55402
91,71,2127,3517,6926,0,0,0,-0.05111694,6.108765
91,71,4358,3545,6954,91,365,271,6.498596,13.92792
91,71,3745,3542,6951,89,365,258,6.26416,14.46719
91,71,4042,3540,6949,86,331,254,5.850204,17.30135
91,71,3376,3537,6946,73,0,165,5.824097,19.06897
91,71,3767,3534,6944,85,237,197,5.688324,20.90283
91,71,3205,3531,6941,75,166,125,5.380646,19.33904
91,71,3092,3528,6939,62,0,89,4.944168,19.12354
91,71,2660,3526,6937,27,0,13,3.889618,14.17015
91,71,2194,3523,6934,10,0,4,2.5914,8.695374
91,71,1992,3520,6932,2,0,0,1.257874,4.855164
91,71,1911,3517,6929,3,0,0,0.05331421,1.470993
91,71,4375,3545,6957,91,416,311,6.326981,17.3718
91,71,4062,3542,6955,89,246,173,5.944214,18.82906
91,71,3851,3540,6952,85,266,198,5.214722,18.93414
91,71,3490,3537,6950,76,132,113,5.059265,17.76038
91,71,3171,3534,6947,62,151,92,5.040955,16.3419
91,71,3174,3531,6945,65,0,71,5.018372,13.53065
91,71,2838,3528,6942,38,0,29,4.294128,10.63548
91,71,2367,3526,6940,11,0,2,3.432953,8.084457
91,71,1952,3523,6938,2,0,0,2.778641,8.936035
91,71,2039,3520,6935,3,0,0,1.250381,5.965698
91,71,4449,3571,6982,91,441,162,7.376328,16.91373
91,71,3860,3568,6980,87,382,160,6.844116,17.22934
91,71,4648,3548,6963,94,356,265,5.588272,17.72998
91,71,4428,3545,6960,93,364,268,5.93959,17.97325
91,71,4290,3542,6958,92,280,211,5.629196,19.0034
91,71,3429,3540,6956,78,0,106,4.813171,17.86479
91,71,3674,3537,6953,80,144,132,4.417053,14.19064
91,71,2779,3534,6951,47,0,26,4.638702,11.98024
91,71,2972,3531,6948,40,0,31,4.559296,8.821259
91,71,2581,3528,6946,10,0,1,4.527344,8.328583
91,71,2222,3526,6944,1,0,0,3.686722,3.780045
91,71,1910,3523,6941,0,0,0,2.657593,6.786774
91,71,2098,3520,6939,3,0,0,2.006287,7.27626
91,71,4569,3576,6991,88,488,157,7.983795,15.7731
91,71,4334,3571,6986,88,496,175,7.614227,21.46465
91,71,4013,3568,6983,88,382,147,7.125198,22.04433
91,71,3640,3565,6981,89,471,224,6.43898,19.2104
91,71,4025,3562,6979,89,451,233,5.733017,17.85555
